brand,orig_post_id,sentiment,pain_points,highlights
Juvaly,1,正面,,抗老修護有感
Juvaly,3,正面,,輕盈好吸收;溫和不刺激
Juvaly,4,中性,,
Juvaly,5,正面,價格偏高,輕盈好吸收;包裝質感
Juvaly,6,正面,,輕盈好吸收;保濕有感;抗老修護有感
Juvaly,7,正面,,輕盈好吸收;無香精;保濕有感
Juvaly,8,正面,,包裝質感;香味宜人
Juvaly,9,正面,,包裝質感
Juvaly,10,正面,,輕盈好吸收;抗老修護有感
Juvaly,11,中性,,
Juvaly,12,中性,,
Juvaly,13,正面,,抗老修護有感;保濕有感
綠藤生機,1,中性,香味不佳;效果無感,溫和不刺激
綠藤生機,2,正面,,保濕有感;溫和不刺激
綠藤生機,3,正面,,輕盈好吸收
綠藤生機,4,中性,效果無感,無香精;香味宜人
綠藤生機,5,正面,,輕盈好吸收;保濕有感
綠藤生機,6,負面,包裝設計,
綠藤生機,7,中性,香味不佳;效果無感,
綠藤生機,8,正面,質地黏膩,保濕有感;無香精
DR.WU,1,正面,,
DR.WU,2,中性,效果無感,
DR.WU,3,中性,,
DR.WU,4,正面,,輕盈好吸收
DR.WU,5,正面,,溫和不刺激
DR.WU,6,正面,,輕盈好吸收;溫和不刺激;保濕有感
DR.WU,8,正面,,輕盈好吸收
DR.WU,9,中性,用量大;需搭配其他產品,保濕有感
DR.WU,10,正面,,輕盈好吸收;保濕有感
DR.WU,12,中性,,
DR.WU,13,正面,,
DR.WU,14,正面,,
DR.WU,15,中性,,包裝質感
